Key Assumptions
"Scenario: Reference, Branch: Key Assumptions\MODFLOW\Simulaciones"
 
Branch,"Sim_A.P. Cabildo","Sim_A.P. Ligua","Sim_A.P. Papudo y Zapallar","Sim_A.P. Placilla","Sim_A.P. Valle Hermoso 1","Sim_A.P. Valle Hermoso 2","Sim_Asentamiento Alicahue","Sim_Asentamiento Bartolillo","Sim_Asentamiento Paihuen","Sim_Asentamiento Pililen","Sim_Asentamiento San Lorenzo","Sim_Asentamiento V. Aconcagua","Sim_Fundo El Molle","Sim_Fundo Montegrande","Sim_La Higuera","Sim_Pozo Dren Cabildo","Sim_Reserva La Vega"
"Apr 30 1980",204.865,62.9722,18.127,23.5141,70.1383,70.1383,675.043,467.507,565.998,450.383,277.802,417.957,353.561,158.966,97.5012,218.429,315.036
"May 7 1980",204.849,62.9478,18.1155,23.4937,70.1102,70.1102,675.004,467.486,565.968,450.351,277.723,417.964,353.564,158.927,97.505,218.39,315.04
"May 14 1980",204.848,62.9218,18.1181,23.5151,70.0898,70.0898,674.968,467.466,565.94,450.319,277.648,417.972,353.569,158.94,97.5081,218.413,315.043
"May 21 1980",204.835,62.8945,18.1094,23.4982,70.0631,70.0631,674.933,467.445,565.917,450.286,277.576,417.979,353.572,158.914,97.5098,218.39,315.046
"May 28 1980",204.813,62.865,18.0999,23.4628,70.0315,70.0315,674.899,467.424,565.887,450.252,277.505,417.985,353.575,158.868,97.5104,218.347,315.048
"Jun 4 1980",204.804,62.8342,18.0962,23.4949,70.0071,70.0071,674.865,467.403,565.859,450.219,277.436,417.992,353.577,158.867,97.5104,218.356,315.049
"Jun 11 1980",204.787,62.803,18.0934,23.4876,69.9831,69.9831,674.833,467.382,565.833,450.187,277.376,417.998,353.58,158.841,97.51,218.336,315.05
"Jun 18 1980",204.767,62.7704,18.0847,23.4592,69.9523,69.9523,674.801,467.361,565.807,450.154,277.322,418.004,353.582,158.804,97.5089,218.303,315.05
"Jun 25 1980",204.764,62.7397,18.0971,23.497,69.9403,69.9403,674.772,467.347,565.785,450.126,277.27,418.012,353.586,158.818,97.5092,218.331,315.052
"Jul 2 1980",204.778,62.7142,18.1307,23.5165,69.9479,69.9479,674.749,467.334,565.77,450.1,277.219,418.02,353.592,158.843,97.5135,218.374,315.055
"Jul 9 1980",204.788,62.6915,18.144,23.525,69.9447,69.9447,674.721,467.317,565.758,450.076,277.167,418.026,353.598,158.855,97.5195,218.396,315.056
"Jul 16 1980",204.774,62.6665,18.1208,23.4913,69.9163,69.9163,674.692,467.296,565.741,450.046,277.115,418.031,353.601,158.818,97.5233,218.352,315.055
"Jul 23 1980",204.814,62.6503,18.2012,23.5592,69.963,69.963,674.685,467.312,565.738,450.037,277.088,418.048,353.614,158.866,97.5353,218.404,315.068
"Jul 30 1980",204.889,62.6553,18.3208,23.6365,70.0509,70.0509,674.675,467.353,565.766,450.045,277.079,418.074,353.638,158.935,97.5602,218.474,315.092
"Aug 6 1980",204.905,62.66,18.2676,23.5819,70.0197,70.0197,674.648,467.332,565.781,450.024,277.038,418.079,353.647,158.93,97.5795,218.492,315.09
"Aug 13 1980",204.901,62.6527,18.231,23.539,69.9906,69.9906,674.626,467.308,565.788,449.999,276.997,418.082,353.651,158.924,97.593,218.489,315.087
"Aug 20 1980",204.876,62.6353,18.1985,23.5002,69.9581,69.9581,674.605,467.285,565.762,449.97,276.958,418.086,353.653,158.881,97.6013,218.431,315.084
"Aug 27 1980",204.846,62.6104,18.1711,23.4863,69.9243,69.9243,674.585,467.263,565.735,449.939,276.919,418.089,353.654,158.844,97.6051,218.386,315.08
"Sep 3 1980",204.811,62.5802,18.1472,23.4761,69.8876,69.8876,674.566,467.24,565.709,449.907,276.881,418.093,353.654,158.801,97.6055,218.341,315.076
